biden_approval,vote2016,vote2020,gss_trust,gss_bible,gss_spanking,social_none,social_fb,social_twitter,social_instagram,social_tiktok,social_pinterest,gender,race,education,income,urban_rural,state,age,region,voted2016,voted2020,race_white,college,noncollege_white
Neither approve nor disapprove,Did not vote,Did not vote,Can trust,Book of fables,Don't know,False,False,True,False,False,False,Male,Black or African American,"Some college, no degree","Between $15,000 and $49,999",Suburban,California,18-24,Pacific,False,False,False,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Male,Hispanic or Latino,Graduated from college,"Between $50,000 and $74,999",Suburban,Florida,25-44,Southeast,True,True,False,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,False,False,Male,Other,Graduated from college,"Between $50,000 and $74,999",Suburban,California,25-44,Pacific,True,True,False,True,False
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,False,True,True,True,False,False,Male,Black or African American,Graduated from college,"Between $15,000 and $49,999",Suburban,Texas,18-24,South,True,True,False,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Somewhat disagree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from high school,"Under $15,000",Urban,California,45-64,Pacific,True,True,True,False,True
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,False,True,Female,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,Massachusetts,25-44,Northeast,True,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,False,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,California,25-44,Pacific,True,True,True,True,False
Somewhat disapprove,Did not vote,Did not vote,Can trust,Inspired word,Disagree,False,True,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,California,25-44,Pacific,False,False,True,True,False
Somewhat disapprove,Donald Trump,Donald Trump,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Connecticut,45-64,Northeast,True,True,True,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Disagree,False,True,False,False,False,True,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,New Hampshire,45-64,Northeast,True,True,True,False,True
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat disagree,False,True,True,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,Massachusetts,65+,Northeast,True,True,True,True,False
Neither approve nor disapprove,Donald Trump,Donald Trump,Can trust,Book of fables,Somewhat disagree,True,False,False,False,False,False,Male,Black or African American,Graduated from college,"Between $100,000 and $150,000",Rural,Oklahoma,25-44,Mountains,True,True,False,True,False
Neither approve nor disapprove,Did not vote,Did not vote,Can trust,Inspired word,Disagree,False,True,False,True,False,False,Male,White or Caucasian,Graduated from college,"Under $15,000",Suburban,Texas,25-44,South,False,False,True,True,False
Disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Somewhat disagree,False,False,True,False,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,New York,45-64,Northeast,True,True,True,True,False
Somewhat approve,Donald Trump,Joe Biden,Can't be too careful,Inspired word,Don't know,False,True,False,False,False,True,Female,White or Caucasian,Graduated from high school,"Under $15,000",Suburban,Florida,25-44,Southeast,True,True,True,False,True
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,False,False,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Suburban,Texas,18-24,South,False,True,False,True,False
Approve,Did not vote,Joe Biden,Don’t know,I don’t know,Disagree,False,True,False,False,False,False,Female,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,New York,25-44,Northeast,False,True,False,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Texas,25-44,South,True,True,True,True,False
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Disagree,False,True,True,False,False,True,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Urban,Michigan,25-44,Midwest,True,True,True,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,True,Male,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Rural,Michigan,25-44,Midwest,True,True,True,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,True,Female,Hispanic or Latino,"Some college, no degree","Between $15,000 and $49,999",Suburban,California,45-64,Pacific,True,True,False,True,False
Somewhat disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Agree,False,True,True,True,True,False,Male,Asian or Asian American,Graduated from college,"Between $50,000 and $74,999",Suburban,Florida,18-24,Southeast,True,True,False,True,False
Somewhat approve,Other,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,True,False,True,Male,White or Caucasian,Graduated from college,"Under $15,000",Urban,New York,18-24,Northeast,True,True,True,True,False
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Book of fables,Disagree,False,False,True,False,False,False,Male,Black or African American,Graduated from high school,"Under $15,000",Suburban,Louisiana,18-24,South,False,False,False,False,False
Strongly disapprove,Did not vote,Did not vote,Can't be too careful,Inspired word,Disagree,False,True,True,True,True,False,Male,Hispanic or Latino,"Some college, no degree","Under $15,000",Suburban,Indiana,18-24,Midwest,False,False,False,True,False
Somewhat disapprove,Hillary Clinton,Donald Trump,Can't be too careful,Word of God,Somewhat disagree,False,True,False,True,False,True,Female,White or Caucasian,Graduated from high school,"Under $15,000",Rural,Michigan,18-24,Midwest,True,True,True,False,True
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Rural,Illinois,25-44,Midwest,True,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,True,False,True,False,True,Female,Asian or Asian American,Completed graduate school,"Between $75,000 and $99,999",Suburban,Maryland,25-44,Northeast,True,True,False,True,False
Approve,Other,Joe Biden,Can't be too careful,Inspired word,Don't know,False,True,False,True,False,False,Male,Black or African American,"Some college, no degree","Between $15,000 and $49,999",Suburban,Maryland,25-44,Northeast,True,True,False,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,Ohio,25-44,Midwest,True,True,True,True,False
Somewhat disapprove,Did not vote,Joe Biden,Can't be too careful,Inspired word,Disagree,False,False,False,True,False,True,Female,Asian or Asian American,Graduated from high school,"Between $15,000 and $49,999",Urban,California,18-24,Pacific,False,True,False,False,False
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Agree,False,True,False,False,False,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,North Carolina,25-44,Southeast,True,True,True,True,False
Approve,Other,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,False,True,Female,White or Caucasian,"Some college, no degree","Between $100,000 and $150,000",Suburban,Virginia,45-64,South,True,True,True,True,False
Disapprove,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Disagree,False,True,True,True,False,False,Other,White or Caucasian,"Some college, no degree","Under $15,000",Rural,Connecticut,25-44,Northeast,True,True,True,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Word of God,Don't know,False,True,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Indiana,45-64,Midwest,True,True,True,True,False
