date,stratum,president,rating,projected,hdi_95_lower,hdi_80_lower,hdi_50_lower,hdi_50_higher,hdi_80_higher,hdi_95_higher,updated
2023-02-16,BR,Lula da Silva,regular,19.7,16.5,17.61,18.58,20.71,21.67,22.72,2023-03-10
2023-02-16,BR,Lula da Silva,positiva,43.7,40.51,41.53,42.53,44.63,45.61,46.67,2023-03-10
2023-02-16,BR,Lula da Silva,nsnr,8.2,5.12,6.23,7.17,9.24,10.18,11.22,2023-03-10
2023-02-16,BR,Lula da Silva,negativa,28.4,25.27,26.32,27.25,29.36,30.35,31.45,2023-03-10
2023-02-15,BR,Lula da Silva,regular,19.7,16.6,17.64,18.61,20.66,21.6,22.67,2023-03-10
2023-02-15,BR,Lula da Silva,positiva,43.7,40.66,41.63,42.54,44.59,45.55,46.57,2023-03-10
2023-02-15,BR,Lula da Silva,nsnr,8.2,5.25,6.29,7.22,9.21,10.13,11.19,2023-03-10
2023-02-15,BR,Lula da Silva,negativa,28.4,25.37,26.39,27.3,29.34,30.3,31.31,2023-03-10
2023-02-14,BR,Lula da Silva,regular,19.7,16.71,17.72,18.62,20.59,21.5,22.5,2023-03-10
2023-02-14,BR,Lula da Silva,positiva,43.7,40.82,41.71,42.59,44.56,45.49,46.47,2023-03-10
2023-02-14,BR,Lula da Silva,nsnr,8.2,5.38,6.35,7.26,9.15,10.05,11.08,2023-03-10
2023-02-14,BR,Lula da Silva,negativa,28.4,25.52,26.44,27.34,29.3,30.25,31.22,2023-03-10
2023-02-13,BR,Lula da Silva,regular,19.6,16.8,17.76,18.63,20.53,21.4,22.35,2023-03-10
2023-02-13,BR,Lula da Silva,positiva,43.7,40.85,41.82,42.65,44.53,45.43,46.39,2023-03-10
2023-02-13,BR,Lula da Silva,nsnr,8.2,5.5,6.44,7.32,9.13,9.98,10.99,2023-03-10
2023-02-13,BR,Lula da Silva,negativa,28.4,25.6,26.54,27.38,29.28,30.13,31.07,2023-03-10
2023-02-12,BR,Lula da Silva,regular,19.6,16.96,17.84,18.67,20.48,21.29,22.21,2023-03-10
2023-02-12,BR,Lula da Silva,positiva,43.7,40.93,41.89,42.7,44.51,45.34,46.24,2023-03-10
2023-02-12,BR,Lula da Silva,nsnr,8.3,5.66,6.55,7.35,9.1,9.93,10.91,2023-03-10
2023-02-12,BR,Lula da Silva,negativa,28.4,25.75,26.64,27.44,29.23,30.07,30.99,2023-03-10
2023-02-11,BR,Lula da Silva,regular,19.6,17.0,17.93,18.67,20.41,21.18,22.0,2023-03-10
2023-02-11,BR,Lula da Silva,positiva,43.7,41.09,41.96,42.77,44.46,45.26,46.09,2023-03-10
2023-02-11,BR,Lula da Silva,nsnr,8.3,5.78,6.64,7.41,9.07,9.84,10.73,2023-03-10
2023-02-11,BR,Lula da Silva,negativa,28.4,25.84,26.71,27.48,29.19,30.0,30.85,2023-03-10
2023-02-10,BR,Lula da Silva,regular,19.5,17.1,17.9,18.64,20.32,21.08,21.9,2023-03-10
2023-02-10,BR,Lula da Silva,positiva,43.8,41.17,42.07,42.82,44.47,45.22,46.06,2023-03-10
2023-02-10,BR,Lula da Silva,nsnr,8.3,5.9,6.69,7.43,9.03,9.76,10.64,2023-03-10
2023-02-10,BR,Lula da Silva,negativa,28.5,26.0,26.81,27.55,29.19,29.98,30.8,2023-03-10
2023-02-09,BR,Lula da Silva,regular,19.5,17.13,17.93,18.61,20.23,20.96,21.75,2023-03-10
2023-02-09,BR,Lula da Silva,positiva,43.8,41.35,42.13,42.84,44.44,45.17,46.0,2023-03-10
2023-02-09,BR,Lula da Silva,nsnr,8.2,5.93,6.72,7.42,8.98,9.68,10.54,2023-03-10
2023-02-09,BR,Lula da Silva,negativa,28.5,26.12,26.91,27.61,29.23,29.94,30.75,2023-03-10
2023-02-08,BR,Lula da Silva,regular,19.4,17.06,17.84,18.55,20.16,20.85,21.69,2023-03-10
2023-02-08,BR,Lula da Silva,positiva,43.8,41.38,42.19,42.88,44.47,45.16,45.91,2023-03-10
2023-02-08,BR,Lula da Silva,nsnr,8.2,5.95,6.72,7.41,8.96,9.71,10.48,2023-03-10
2023-02-08,BR,Lula da Silva,negativa,28.5,26.14,26.97,27.66,29.26,29.99,30.77,2023-03-10
2023-02-07,BR,Lula da Silva,regular,19.3,17.04,17.78,18.49,20.07,20.76,21.5,2023-03-10
2023-02-07,BR,Lula da Silva,positiva,43.9,41.45,42.26,42.94,44.49,45.2,45.99,2023-03-10
2023-02-07,BR,Lula da Silva,nsnr,8.2,5.96,6.74,7.4,8.97,9.66,10.47,2023-03-10
2023-02-07,BR,Lula da Silva,negativa,28.6,26.21,27.04,27.74,29.29,29.98,30.72,2023-03-10
2023-02-06,BR,Lula da Silva,regular,19.3,16.96,17.73,18.41,19.97,20.66,21.38,2023-03-10
2023-02-06,BR,Lula da Silva,positiva,43.9,41.53,42.3,42.97,44.52,45.22,45.95,2023-03-10
2023-02-06,BR,Lula da Silva,nsnr,8.2,6.02,6.74,7.42,8.95,9.64,10.49,2023-03-10
2023-02-06,BR,Lula da Silva,negativa,28.6,26.27,27.07,27.78,29.31,30.01,30.78,2023-03-10
2023-02-05,BR,Lula da Silva,regular,19.2,16.93,17.64,18.34,19.87,20.53,21.29,2023-03-10
2023-02-05,BR,Lula da Silva,positiva,43.9,41.6,42.34,43.03,44.55,45.25,45.96,2023-03-10
2023-02-05,BR,Lula da Silva,nsnr,8.2,6.01,6.75,7.42,8.93,9.62,10.44,2023-03-10
2023-02-05,BR,Lula da Silva,negativa,28.7,26.36,27.13,27.83,29.35,30.02,30.78,2023-03-10
2023-02-04,BR,Lula da Silva,regular,19.1,16.88,17.6,18.27,19.76,20.41,21.17,2023-03-10
2023-02-04,BR,Lula da Silva,positiva,44.0,41.7,42.4,43.1,44.56,45.23,45.98,2023-03-10
