biden_approval,vote2016,vote2020,gss_trust,gss_bible,gss_spanking,social_none,social_fb,social_twitter,social_instagram,social_tiktok,social_pinterest,gender,race,education,income,urban_rural,state,age,region,voted2016,voted2020,race_white,college,noncollege_white,weight
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Agree,False,True,False,False,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,Tennessee,45-64,South,True,True,True,True,False,0.8222041512142618
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,False,False,False,True,Female,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,Texas,45-64,South,True,True,True,True,False,1.3936682208223652
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,False,True,True,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Colorado,25-44,Southwest,True,True,True,True,False,0.2132219852065761
Neither approve nor disapprove,Did not vote,Did not vote,Can trust,Inspired word,Don't know,False,True,True,True,False,True,Female,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Suburban,Iowa,25-44,Midwest,False,False,False,True,False,0.2270716138757212
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Book of fables,Agree,False,False,True,False,False,False,Female,Hispanic or Latino,Graduated from college,"Under $15,000",Urban,Texas,25-44,South,True,True,False,True,False,0.17006778761771466
Somewhat disapprove,Other,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Connecticut,25-44,Northeast,True,True,True,True,False,0.02124618446427061
Strongly approve,Did not vote,Did not vote,Can trust,Inspired word,Somewhat agree,False,True,True,True,False,False,Male,Black or African American,Completed graduate school,"Between $50,000 and $74,999",Suburban,Kentucky,45-64,South,False,False,False,True,False,1.3711807298013552
Neither approve nor disapprove,Other,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,True,True,Female,Other,Graduated from college,"Between $50,000 and $74,999",Urban,Maryland,25-44,Northeast,True,True,False,True,False,0.05129262739103718
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from college,"Over $150,000",Suburban,Maryland,65+,Northeast,True,True,True,True,False,3.5456103334433053
Somewhat approve,Did not vote,Did not vote,Can't be too careful,Book of fables,Somewhat disagree,False,False,True,False,False,True,Male,Black or African American,Completed graduate school,"Between $15,000 and $49,999",Urban,North Carolina,18-24,Southeast,False,False,False,True,False,0.0595041240281698
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Word of God,Agree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Minnesota,65+,Midwest,True,True,True,True,False,7.7440940218948136
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,True,False,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Nebraska,45-64,Mountains,True,True,True,True,False,0.6220214721675574
Approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Urban,Nevada,18-24,Southwest,False,True,True,True,False,0.12450800186702882
Somewhat approve,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Disagree,False,True,False,True,False,False,Female,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,New Jersey,25-44,Northeast,True,True,True,True,False,0.04924026804550587
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Inspired word,Somewhat disagree,False,False,True,True,True,False,Male,Asian or Asian American,"Some college, no degree","Under $15,000",Suburban,California,18-24,Pacific,False,True,False,True,False,0.0887138522440949
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,True,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,New York,25-44,Northeast,True,True,True,True,False,0.07245957843283952
Neither approve nor disapprove,Other,Other,Don’t know,Book of fables,Somewhat disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,California,25-44,Pacific,True,True,True,True,False,0.04586288689929855
Somewhat approve,Did not vote,Did not vote,Can't be too careful,Book of fables,Don't know,False,False,False,True,False,False,Male,Hispanic or Latino,Graduated from high school,"Between $15,000 and $49,999",Suburban,Massachusetts,18-24,Northeast,False,False,False,False,False,1.166257709004306
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Inspired word,Somewhat agree,True,False,False,False,False,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,California,25-44,Pacific,False,False,False,True,False,0.10444435386003807
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,False,True,Male,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Tennessee,45-64,South,True,True,True,True,False,1.1710287741189331
Approve,Did not vote,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from high school,"Between $50,000 and $74,999",Suburban,Wisconsin,25-44,Midwest,False,True,True,False,True,1.962956067966875
Somewhat disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,True,False,False,False,False,False,Male,White or Caucasian,Graduated from high school,"Under $15,000",Urban,Nevada,18-24,Southwest,True,True,True,False,True,0.10049176102422913
Approve,Hillary Clinton,Joe Biden,Don’t know,Inspired word,Disagree,False,True,True,False,False,True,Male,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Urban,California,25-44,Pacific,True,True,True,False,True,0.5703832197869637
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Florida,25-44,Southeast,False,False,True,True,False,0.08261306432456378
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Disagree,False,True,False,False,False,False,Female,White or Caucasian,Graduated from college,"Under $15,000",Rural,Illinois,45-64,Midwest,True,True,True,True,False,0.08166324309718788
Strongly approve,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Disagree,False,True,True,True,False,True,Male,White or Caucasian,Graduated from college,"Under $15,000",Urban,Arizona,45-64,Southwest,True,True,True,True,False,0.06397001522879302
Somewhat disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Disagree,False,True,False,True,False,True,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,California,25-44,Pacific,True,True,True,True,False,0.09944350443371036
Somewhat disapprove,Other,Joe Biden,Can trust,Inspired word,Agree,False,True,True,True,False,False,Male,Asian or Asian American,Graduated from college,"Under $15,000",Rural,West Virginia,25-44,South,True,True,False,True,False,0.04206818372148809
Somewhat disapprove,Did not vote,Joe Biden,Can trust,I don’t know,Disagree,False,False,True,True,True,True,Female,White or Caucasian,Graduated from college,"Under $15,000",Suburban,Utah,18-24,Mountains,False,True,True,True,False,0.15703732599489456
Somewhat approve,Did not vote,Did not vote,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,New York,25-44,Northeast,False,False,True,True,False,0.5993368514368511
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Agree,False,True,False,False,False,False,Female,White or Caucasian,Graduated from high school,"Between $50,000 and $74,999",Suburban,Pennsylvania,45-64,Midwest,True,True,True,False,True,13.68399236260801
Somewhat disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Somewhat agree,False,True,False,True,True,True,Female,White or Caucasian,"Some college, no degree","Under $15,000",Rural,Pennsylvania,25-44,Midwest,True,True,True,True,False,0.26638048059422825
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,True,False,True,False,False,Female,Asian or Asian American,Completed graduate school,"Between $15,000 and $49,999",Suburban,Texas,18-24,South,True,True,False,True,False,0.025138013255051994
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Washington,45-64,Pacific,True,True,True,True,False,0.07819283426000498
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Book of fables,Don't know,False,True,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Under $15,000",Rural,Texas,25-44,South,True,True,True,True,False,0.034230672467652316
Somewhat disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Somewhat disagree,False,True,False,False,False,False,Female,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,Illinois,25-44,Midwest,True,True,True,True,False,1.6289685091871293
Strongly approve,Other,Joe Biden,Can trust,Book of fables,Somewhat agree,False,False,True,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Rural,Georgia,25-44,Southeast,True,True,True,True,False,0.07024182163213238
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,Black or African American,"Some college, no degree","Under $15,000",Urban,Florida,18-24,Southeast,True,True,False,True,False,0.031933982338087946
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Don't know,False,True,True,True,True,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Suburban,California,25-44,Pacific,True,True,False,True,False,0.03516309140999129
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Agree,False,True,False,True,False,False,Male,White or Caucasian,Completed graduate school,"Over $150,000",Suburban,New York,65+,Northeast,True,True,True,True,False,10.979307899449418
Disapprove,Other,Other,Can't be too careful,Inspired word,Don't know,False,True,False,True,False,False,Male,Other,"Some college, no degree","Between $15,000 and $49,999",Urban,Nevada,25-44,Southwest,True,True,False,True,False,0.18767712667782022
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Nevada,25-44,Southwest,True,True,True,True,False,0.1118368850970255
Somewhat disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,True,False,Female,White or Caucasian,Graduated from college,"Under $15,000",Urban,North Carolina,25-44,Southeast,True,True,True,True,False,0.011986346974498503
Somewhat disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,False,False,True,False,False,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,California,25-44,Pacific,True,True,True,True,False,0.1681761941226808
Somewhat disapprove,Donald Trump,Donald Trump,Can't be too careful,Book of fables,Agree,False,True,True,False,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Illinois,45-64,Midwest,True,True,True,True,False,0.49325138064896173
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,True,False,False,False,False,False,Male,Hispanic or Latino,Graduated from high school,"Under $15,000",Rural,New Jersey,25-44,Northeast,True,True,False,False,False,0.5020107721626108
Neither approve nor disapprove,Other,Other,Can trust,I don’t know,Somewhat agree,False,True,False,False,False,True,Male,Hispanic or Latino,Graduated from college,"Between $75,000 and $99,999",Suburban,Connecticut,45-64,Northeast,True,True,False,True,False,1.1911226176191663
Strongly disapprove,Other,Other,Can trust,Inspired word,Agree,False,True,True,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Urban,Arizona,25-44,Southwest,True,True,True,True,False,0.1548260986939194
Approve,Did not vote,Joe Biden,Can trust,Inspired word,Disagree,False,False,False,True,True,True,Male,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Washington,18-24,Pacific,False,True,True,True,False,0.08550753682020822
Somewhat approve,Did not vote,Joe Biden,Can trust,Book of fables,Disagree,False,False,True,True,True,True,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Iowa,18-24,Midwest,False,True,True,True,False,0.05542524054636681
Somewhat approve,Did not vote,Did not vote,Can't be too careful,Book of fables,Disagree,False,True,False,True,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Rural,New York,25-44,Northeast,False,False,True,True,False,0.04309485436544242
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,False,True,True,True,False,Male,Asian or Asian American,Graduated from high school,"Under $15,000",Suburban,California,18-24,Pacific,True,True,False,False,False,0.029480283674201153
Neither approve nor disapprove,Did not vote,Did not vote,Can trust,I don’t know,Somewhat agree,False,True,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Alabama,45-64,South,False,False,True,True,False,0.9631233360301107
Approve,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Disagree,False,False,False,True,True,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Rural,Washington,25-44,Pacific,True,True,True,True,False,0.03216036455171075
Approve,Did not vote,Did not vote,Can't be too careful,Book of fables,Disagree,False,True,False,True,False,False,Female,Asian or Asian American,"Some college, no degree","Under $15,000",Suburban,California,18-24,Pacific,False,False,False,True,False,0.015867396083810725
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,False,True,False,True,False,False,Male,Asian or Asian American,Graduated from college,"Between $50,000 and $74,999",Suburban,California,25-44,Pacific,True,True,False,True,False,0.04935461970939937
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Urban,Ohio,25-44,Midwest,True,True,True,True,False,0.11580067263833142
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,False,False,False,Female,White or Caucasian,Completed graduate school,"Between $100,000 and $150,000",Suburban,California,45-64,Pacific,True,True,True,True,False,0.4237816678819652
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat disagree,False,True,True,True,False,False,Female,Asian or Asian American,Graduated from college,"Between $75,000 and $99,999",Urban,Texas,18-24,South,True,True,False,True,False,0.12507967869869574
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat disagree,False,True,True,False,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,California,45-64,Pacific,True,True,True,True,False,0.5977844722557785
Strongly disapprove,Did not vote,Did not vote,Can't be too careful,Word of God,Disagree,False,True,False,True,False,True,Female,White or Caucasian,Graduated from high school,"Under $15,000",Suburban,Florida,18-24,Southeast,False,False,True,False,True,0.2080705962925408
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,True,True,False,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Maine,25-44,Northeast,True,True,True,True,False,0.1405271858629371
Somewhat approve,Donald Trump,Joe Biden,Can trust,Book of fables,Don't know,False,False,True,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Urban,Pennsylvania,25-44,Midwest,True,True,True,True,False,0.20378719810177595
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,True,False,True,Female,White or Caucasian,Graduated from college,"Between $75,000 and $99,999",Rural,New York,25-44,Northeast,True,True,True,True,False,0.04209023292474478
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Inspired word,Somewhat agree,True,False,False,False,False,False,Male,Asian or Asian American,Graduated from college,"Between $75,000 and $99,999",Suburban,Georgia,25-44,Southeast,False,False,False,True,False,0.12093645664733964
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,True,True,False,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Rural,South Carolina,45-64,Southeast,True,True,True,True,False,0.14016719355887466
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,False,False,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,California,18-24,Pacific,True,True,True,True,False,0.24711426373154213
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Somewhat agree,False,True,True,True,False,True,Female,White or Caucasian,Completed graduate school,"Between $100,000 and $150,000",Urban,Texas,45-64,South,True,True,True,True,False,2.1488231787458196
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,False,True,True,True,False,False,Female,Black or African American,Completed graduate school,"Between $15,000 and $49,999",Urban,Virginia,25-44,South,True,True,False,True,False,0.09558113321867523
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Urban,Pennsylvania,25-44,Midwest,True,True,True,True,False,0.1105868687370195
Approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,False,True,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,California,18-24,Pacific,False,True,True,True,False,0.03021576409894657
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Inspired word,Somewhat disagree,False,False,True,True,False,False,Other,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,Ohio,18-24,Midwest,False,False,True,False,True,2.9106119186225228
Neither approve nor disapprove,Donald Trump,Donald Trump,Can't be too careful,I don’t know,Don't know,False,False,False,True,True,True,Female,Asian or Asian American,Graduated from college,"Between $75,000 and $99,999",Urban,Tennessee,25-44,South,True,True,False,True,False,0.13587539193945206
Strongly approve,Did not vote,Did not vote,Can't be too careful,Word of God,Agree,False,True,True,False,False,False,Female,Black or African American,Completed graduate school,"Over $150,000",Suburban,Texas,45-64,South,False,False,False,True,False,38.346082145067044
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Don't know,False,True,True,True,False,False,Male,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Suburban,New York,25-44,Northeast,True,True,True,False,True,1.3315127564205964
Approve,Did not vote,Joe Biden,Can't be too careful,Inspired word,Somewhat disagree,False,True,False,True,True,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Virginia,18-24,South,False,True,True,True,False,0.17367664611851302
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,True,False,True,True,False,Female,White or Caucasian,Graduated from college,"Between $75,000 and $99,999",Urban,Minnesota,25-44,Midwest,True,True,True,True,False,0.26321566587228606
Neither approve nor disapprove,Other,Other,Can't be too careful,Book of fables,Disagree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,Washington,18-24,Pacific,True,True,True,True,False,0.004829033888893637
Somewhat approve,Other,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,False,True,Female,Black or African American,Graduated from college,"Between $50,000 and $74,999",Rural,North Carolina,25-44,Southeast,True,True,False,True,False,0.21245453286112653
Somewhat approve,Did not vote,Joe Biden,Don’t know,Book of fables,Disagree,False,True,False,True,False,False,Female,Asian or Asian American,Graduated from high school,"Under $15,000",Suburban,Maryland,18-24,Northeast,False,True,False,False,False,0.059949781586136335
Neither approve nor disapprove,Other,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,False,True,True,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Rural,New Jersey,25-44,Northeast,True,True,True,True,False,0.022032123744269987
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Book of fables,Disagree,False,True,False,True,False,True,Female,White or Caucasian,Graduated from college,"Under $15,000",Urban,California,25-44,Pacific,False,False,True,True,False,0.01997069002085215
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Somewhat agree,False,False,False,True,False,True,Male,Asian or Asian American,Graduated from college,"Under $15,000",Suburban,Virginia,25-44,South,True,True,False,True,False,0.023229131926438565
Strongly approve,Hillary Clinton,Joe Biden,Don’t know,Inspired word,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Florida,25-44,Southeast,True,True,True,True,False,0.0535339187129153
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Agree,False,True,True,False,False,False,Male,Hispanic or Latino,"Some college, no degree","Between $100,000 and $150,000",Urban,Missouri,18-24,South,True,True,False,True,False,12.24747418635111
Strongly approve,Donald Trump,Donald Trump,Can't be too careful,Word of God,Agree,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Over $150,000",Urban,New York,25-44,Northeast,True,True,True,True,False,4.52745087954437
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Word of God,Agree,False,True,True,False,False,False,Female,Black or African American,Graduated from college,"Between $75,000 and $99,999",Urban,New York,25-44,Northeast,True,True,False,True,False,2.6224100636254657
Somewhat approve,Did not vote,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,False,False,True,False,True,Female,Asian or Asian American,Graduated from college,"Between $75,000 and $99,999",Suburban,California,18-24,Pacific,False,True,False,True,False,0.08693739791093501
Neither approve nor disapprove,Other,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Rural,Indiana,18-24,Midwest,True,True,True,True,False,0.012822600464572115
Neither approve nor disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Disagree,False,True,False,False,False,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Florida,25-44,Southeast,True,True,True,True,False,0.06687506878123071
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Rural,Kentucky,65+,South,True,True,True,True,False,0.2148565483882508
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,False,True,False,True,False,True,Female,White or Caucasian,Graduated from high school,"Between $50,000 and $74,999",Suburban,New Hampshire,45-64,Northeast,True,True,True,False,True,2.464978408022853
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Don't know,False,False,False,False,False,True,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,New York,45-64,Northeast,True,True,True,True,False,0.9964411928146297
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Don't know,False,True,False,True,False,False,Female,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,California,25-44,Pacific,True,True,False,True,False,0.03268171411373816
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,True,False,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Urban,Illinois,45-64,Midwest,True,True,True,True,False,0.40330570511730757
Approve,Donald Trump,Joe Biden,Can't be too careful,Book of fables,Disagree,True,False,False,False,False,False,Female,White or Caucasian,Completed graduate school,"Between $100,000 and $150,000",Suburban,New York,45-64,Northeast,True,True,True,True,False,0.18143347469561968
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Ohio,25-44,Midwest,True,True,True,True,False,0.14564576595407427
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,I don’t know,Disagree,False,True,True,True,True,False,Male,Asian or Asian American,Graduated from high school,"Under $15,000",Urban,New York,18-24,Northeast,False,True,False,False,False,0.11214324582073207
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,False,True,False,False,Male,Asian or Asian American,Completed graduate school,"Between $50,000 and $74,999",Suburban,New York,25-44,Northeast,True,True,False,True,False,0.04934225954884357
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,True,False,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Delaware,25-44,Northeast,True,True,True,True,False,0.10023496673014691
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Don't know,False,True,True,True,False,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,New York,65+,Northeast,True,True,True,True,False,0.6847311682063618
Somewhat disapprove,Donald Trump,Other,Can't be too careful,Inspired word,Disagree,True,False,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Illinois,25-44,Midwest,True,True,True,True,False,0.018183094227856824
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,True,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,Indiana,25-44,Midwest,True,True,True,True,False,0.055223953697828294
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat agree,False,True,True,True,True,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Urban,Washington,25-44,Pacific,True,True,True,True,False,0.10014386246006993
Approve,Hillary Clinton,Did not vote,Can't be too careful,Inspired word,Disagree,False,True,True,True,False,False,Male,White or Caucasian,"Some college, no degree","Under $15,000",Urban,Virginia,25-44,South,True,False,True,True,False,0.061905819674204325
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Disagree,False,True,False,False,False,False,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Rural,Missouri,45-64,South,True,True,True,True,False,0.18223704858830828
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,False,False,False,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Urban,Massachusetts,25-44,Northeast,True,True,True,True,False,0.03447257566398594
Approve,Did not vote,Joe Biden,Can trust,I don’t know,Somewhat disagree,False,False,False,True,False,False,Male,Other,Graduated from college,"Between $75,000 and $99,999",Suburban,South Carolina,25-44,Southeast,False,True,False,True,False,0.4159778619980639
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,False,True,True,True,Female,Hispanic or Latino,Graduated from college,"Under $15,000",Urban,Texas,18-24,South,True,True,False,True,False,0.05666983818011995
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,Hispanic or Latino,Completed graduate school,"Between $15,000 and $49,999",Suburban,Florida,25-44,Southeast,True,True,False,True,False,0.04278805138380792
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,I don’t know,Disagree,False,True,False,True,False,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,California,25-44,Pacific,False,True,False,True,False,0.056631951928572
Approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,True,False,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Iowa,18-24,Midwest,False,True,True,True,False,0.03329581775675873
Somewhat approve,Other,Joe Biden,Can trust,I don’t know,Don't know,False,False,True,True,True,True,Male,Other,"Some college, no degree","Between $50,000 and $74,999",Suburban,Virginia,25-44,South,True,True,False,True,False,0.4875313627328816
Somewhat approve,Did not vote,Did not vote,Don’t know,Book of fables,Disagree,False,False,False,True,False,True,Male,White or Caucasian,"Some college, no degree","Between $75,000 and $99,999",Urban,New Jersey,18-24,Northeast,False,False,True,True,False,0.15484338706109282
Approve,Donald Trump,Joe Biden,Can trust,I don’t know,Disagree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from college,"Under $15,000",Suburban,Texas,45-64,South,True,True,True,True,False,0.056767394684140986
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Don't know,False,True,True,True,True,True,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Urban,Ohio,25-44,Midwest,True,True,True,True,False,0.22986290626509925
