"FPV.PJ","PRO","FR.PJ","Outros","date"
0.235617061175448,0.191367084931516,0.266881359854404,0.306134494038631,2014-06-12
0.235812161953934,0.191856038597646,0.266495456222364,0.305836343226056,2014-06-13
0.236006735080447,0.192344539648564,0.266111077793112,0.305537647477876,2014-06-14
0.236200780618072,0.192832566909991,0.265728240767839,0.305238411704098,2014-06-15
0.23639429869184,0.193320099123596,0.265346961309606,0.304938640874958,2014-06-16
0.236587289488537,0.193807114947843,0.264967255543611,0.304638340020009,2014-06-17
0.236779753256515,0.194293592958833,0.264589139557454,0.304337514227198,2014-06-18
0.236971690305475,0.194779511651163,0.264212629401421,0.304036168641942,2014-06-19
0.237163101006247,0.195264849438785,0.263837741088777,0.30373430846619,2014-06-20
0.237353985790567,0.195749584655879,0.263464490596067,0.303431938957487,2014-06-21
0.237544345150826,0.196233695557725,0.263092893863431,0.303129065428018,2014-06-22
0.237734179639825,0.196717160321588,0.262722966794925,0.302825693243661,2014-06-23
0.237923489870506,0.197199957047608,0.262354725258861,0.302521827823024,2014-06-24
0.23811227651568,0.197682063759696,0.26198818508815,0.302217474636474,2014-06-25
0.238300540307741,0.198163458406435,0.261623362080659,0.301912639205165,2014-06-26
0.238488282038369,0.198644118861991,0.261260271999579,0.301607327100061,2014-06-27
0.238675502558224,0.199124022927027,0.260898930573803,0.301301543940946,2014-06-28
0.238862202776622,0.199603148329626,0.260539353498319,0.300995295395432,2014-06-29
0.239048383661215,0.200081472726215,0.260181556434605,0.300688587177965,2014-06-30
0.239234046237639,0.2005589737025,0.259825555011045,0.300381425048815,2014-07-01
0.23941919158917,0.201035628774403,0.259471364823352,0.300073814813075,2014-07-02
0.239603820856357,0.201511415389007,0.259119001434997,0.299765762319639,2014-07-03
0.239787935236651,0.201986310925505,0.258768480377659,0.299457273460184,2014-07-04
0.239971535984016,0.202460292696154,0.25841981715168,0.299148354168149,2014-07-05
0.240154624408536,0.202933337947236,0.258073027226528,0.298839010417699,2014-07-06
0.240337201876006,0.20340542386002,0.257728126041282,0.298529248222692,2014-07-07
0.240519269807512,0.203876527551733,0.257385129005115,0.29821907363564,2014-07-08
0.240700829679005,0.204346626076536,0.257044051497798,0.297908492746661,2014-07-09
0.240881883020857,0.204815696426498,0.256704908870213,0.297597511682433,2014-07-10
0.241062431417409,0.205283715532584,0.256367716444871,0.297286136605136,2014-07-11
0.241242476506512,0.205750660265637,0.256032489516454,0.296974373711397,2014-07-12
0.241422019979047,0.206216507437375,0.255699243352351,0.296662229231227,2014-07-13
0.241601063578443,0.206681233801385,0.255367993193224,0.296349709426948,2014-07-14
0.241779609100181,0.207144816054118,0.255038754253569,0.296036820592133,2014-07-15
0.241957658391282,0.207607230835899,0.254711541722299,0.295723569050519,2014-07-16
0.242135213349796,0.208068454731931,0.254386370763334,0.295409961154938,2014-07-17
0.242312275924264,0.208528464273304,0.254063256516202,0.29509600328623,2014-07-18
0.242488848113182,0.20898723593801,0.253742214096654,0.294781701852154,2014-07-19
0.242664931964447,0.209444746151961,0.253423258597283,0.294467063286308,2014-07-20
0.242840529574795,0.20990097129001,0.25310640508817,0.294152094047025,2014-07-21
0.243015643089225,0.210355887676971,0.252791668617519,0.293836800616286,2014-07-22
0.243190274700413,0.210809471588647,0.252479064212324,0.293521189498615,2014-07-23
0.243364426648121,0.211261699252863,0.252168606879037,0.29320526721998,2014-07-24
0.24353810121858,0.21171254685049,0.251860311604244,0.292889040326685,2014-07-25
0.243711300743881,0.212161990516486,0.251554193355366,0.292572515384267,2014-07-26
0.243884027601338,0.212610006340928,0.251250267081352,0.292255698976382,2014-07-27
0.244056284212851,0.213056570370056,0.250948547713403,0.291938597703689,2014-07-28
0.244228073044252,0.21350165860731,0.250649050165695,0.291621218182743,2014-07-29
0.244399396604644,0.213945247014374,0.250351789336114,0.291303567044868,2014-07-30
0.244570257445726,0.214387311512222,0.250056780107007,0.290985650935045,2014-07-31
0.244740658161106,0.214827827982169,0.249764037345941,0.290667476510784,2014-08-01
0.244910601385609,0.215266772266913,0.249473575906478,0.290349050441,2014-08-02
0.245080089794567,0.215704120171591,0.24918541062895,0.290030379404893,2014-08-03
0.245249126103101,0.216139847464828,0.24889955634126,0.289711470090811,2014-08-04
0.245417713065394,0.216573929879794,0.248616027859681,0.28939232919513,2014-08-05
0.245585853473949,0.217006343115258,0.248334839989678,0.289072963421115,2014-08-06
0.245753550158838,0.217437062836641,0.248056007526731,0.288753379477791,2014-08-07
0.24592080598694,0.217866064677079,0.247779545257173,0.288433584078808,2014-08-08
0.24608762386117,0.21829332423848,0.247505467959045,0.288113583941306,2014-08-09
0.246254006719692,0.218718817092579,0.24723379040295,0.287793385784779,2014-08-10
0.246419957535127,0.219142518782008,0.24696452735293,0.287472996329935,2014-08-11
0.246585479313744,0.219564404821349,0.246697693567346,0.287152422297561,2014-08-12
0.246750575094648,0.219984450698198,0.246433303799774,0.286831670407379,2014-08-13
0.246915247948948,0.220402631874233,0.24617137279991,0.286510747376909,2014-08-14
0.247079500978919,0.220818923786271,0.245911915314485,0.286189659920325,2014-08-15
0.247243337317154,0.221233301847336,0.245654946088192,0.285868414747317,2014-08-16
0.247406760125706,0.221645741447721,0.245400479864629,0.285547018561945,2014-08-17
0.247569772595209,0.222056217956055,0.245148531387239,0.285225478061496,2014-08-18
0.247732377944007,0.222464706720368,0.244899115400281,0.284903799935345,2014-08-19
0.247894579417249,0.222871183069153,0.244652246649792,0.284581990863806,2014-08-20
0.248056380285996,0.223275622312438,0.244407939884574,0.284260057516992,2014-08-21
0.248217783846299,0.223677999742845,0.244166209857185,0.283938006553671,2014-08-22
0.248378793418278,0.22407829063666,0.243927071324945,0.283615844620118,2014-08-23
0.248539412345181,0.224476470254897,0.243690539050946,0.283293578348977,2014-08-24
0.248699643992442,0.224872513844366,0.243456627805081,0.282971214358111,2014-08-25
0.24885949174672,0.225266396638735,0.24322535236508,0.282648759249465,2014-08-26
0.249018959014931,0.2256580938596,0.242996727517552,0.282326219607916,2014-08-27
0.249178049223268,0.226047580717547,0.24277076805905,0.282003602000135,2014-08-28
0.249336770097153,0.226434838153516,0.242547478702568,0.281680913046762,2014-08-29
0.249495146481751,0.226819870099689,0.242326823826563,0.281358159591998,2014-08-30
0.249653207461647,0.227202686326861,0.242108757813481,0.281035348398011,2014-08-31
0.249810982075313,0.227583296712997,0.241893235149982,0.280712486061707,2014-09-01
0.249968499315938,0.227961711242233,0.241680210424547,0.280389579017282,2014-09-02
0.250125788132278,0.228337940003885,0.241469638325115,0.280066633538722,2014-09-03
0.250282877429515,0.228711993191456,0.241261473636759,0.27974365574227,2014-09-04
0.250439796070133,0.229083881101636,0.241055671239389,0.279420651588842,2014-09-05
0.250596572874795,0.2294536141333,0.240852186105497,0.279097626886407,2014-09-06
0.250753236623241,0.229821202786507,0.24065097329793,0.278774587292322,2014-09-07
0.250909816055191,0.230186657661487,0.2404519879677,0.278451538315622,2014-09-08
0.251066339871259,0.230549989457634,0.240255185351832,0.278128485319275,2014-09-09
0.251222836733879,0.230911208972489,0.240060520771246,0.277805433522386,2014-09-10
0.251379335268234,0.231270327100721,0.239867949628673,0.277482388002372,2014-09-11
0.251535864063202,0.2316273548331,0.239677427406613,0.277159353697085,2014-09-12
0.251692451672307,0.231982303255473,0.239488909665324,0.276836335406896,2014-09-13
0.251849126614675,0.232335183547723,0.239302352040856,0.276513337796746,2014-09-14
0.252005917376,0.232686006982738,0.239117710243115,0.276190365398147,2014-09-15
0.252162852409522,0.233034784925359,0.238934940053972,0.275867422611147,2014-09-16
0.252319960137006,0.233381528831332,0.238753997325406,0.275544513706255,2014-09-17
0.25247726894973,0.233726250246253,0.238574837977687,0.275221642826329,2014-09-18
0.252634807209479,0.234068960804504,0.238397417997602,0.274898813988415,2014-09-19
0.252792603249545,0.234409672228181,0.238221693436714,0.27457603108556,2014-09-20
0.252950685375734,0.234748396326022,0.238047620409669,0.274253297888575,2014-09-21
0.253109081867379,0.23508514499232,0.237875155092536,0.273930618047765,2014-09-22
0.253267820978354,0.235419930205835,0.237704253721193,0.273607995094618,2014-09-23
0.253426930938096,0.235752764028696,0.237534872589753,0.273285432443455,2014-09-24
0.253586439952633,0.236083658605294,0.237366968049026,0.272962933393047,2014-09-25
0.25374637620561,0.236412626161169,0.237200496505033,0.272640501128188,2014-09-26
0.25390676785933,0.236739679001887,0.237035414417552,0.272318138721231,2014-09-27
0.254067643055782,0.237064829511913,0.236871678298714,0.271995849133591,2014-09-28
0.25422902991769,0.237388090153468,0.236709244711633,0.271673635217208,2014-09-29
0.254390956549553,0.237709473465385,0.236548070269091,0.271351499715971,2014-09-30
0.25455345103869,0.238028992061949,0.236388111632251,0.271029445267109,2014-10-01
0.254716541456294,0.238346658631731,0.236229325509431,0.270707474402544,2014-10-02
0.254880255858474,0.238662485936416,0.236071668654903,0.270385589550207,2014-10-03
0.255044622287318,0.238976486809611,0.235915097867754,0.270063793035317,2014-10-04
0.255209668771938,0.239288674155656,0.235759569990775,0.26974208708163,2014-10-05
0.255375423329531,0.239599060948414,0.235605041909411,0.269420473812645,2014-10-06
0.255541913966431,0.239907660230054,0.235451470550737,0.269098955252778,2014-10-07
0.255709168679169,0.240214485109828,0.235298812882501,0.268777533328502,2014-10-08
0.25587721545553,0.24051954876283,0.23514702591219,0.26845620986945,2014-10-09
0.256046082275608,0.240822864428747,0.23499606668616,0.268134986609485,2014-10-10
0.256215797112863,0.241124445410601,0.234845892288802,0.267813865187734,2014-10-11
0.25638638793518,0.241424305073475,0.234696459841756,0.267492847149589,2014-10-12
0.256557882705925,0.24172245684323,0.23454772650317,0.267171933947675,2014-10-13
0.256730309384994,0.24201891420521,0.234399649467015,0.266851126942782,2014-10-14
0.256903695929874,0.242313690702935,0.23425218596243,0.266530427404761,2014-10-15
0.257078070296693,0.242606799936777,0.234105293253133,0.266209836513398,2014-10-16
0.257253460441264,0.242898255562634,0.233958928636862,0.26588935535924,2014-10-17
0.257429894320142,0.243188071290579,0.233813049444879,0.2655689849444,2014-10-18
0.257607399891664,0.243476260883504,0.233667613041511,0.265248726183321,2014-10-19
0.257786005116991,0.243762838155748,0.233522576823743,0.264928579903518,2014-10-20
0.257965737961154,0.244047816971713,0.233377898220862,0.264608546846271,2014-10-21
0.258146626394084,0.244331211244464,0.233233534694143,0.264288627667309,2014-10-22
0.25832869839165,0.244613034934318,0.233089443736594,0.263968822937439,2014-10-23
0.258511981936686,0.244893302047416,0.232945582872738,0.263649133143161,2014-10-24
0.258696505020017,0.245172026634286,0.232801909658454,0.263329558687243,2014-10-25
0.258882295641482,0.245449222788385,0.232658381680864,0.263010099889269,2014-10-26
0.259069381810948,0.245724904644631,0.232514956558268,0.262690756986153,2014-10-27
0.259257791549323,0.245999086377917,0.232371591940135,0.262371530132626,2014-10-28
0.259447552889564,0.246271782201616,0.232228245507133,0.262052419401687,2014-10-29
0.259638693877675,0.246543006366063,0.232084874971227,0.261733424785035,2014-10-30
0.259831242573707,0.246812773157028,0.231941438075809,0.261414546193457,2014-10-31
0.260025227052741,0.247081096894169,0.231797892595891,0.261095783457199,2014-11-01
0.260220675405879,0.247347991929473,0.231654196338348,0.2607771363263,2014-11-02
0.260417615741214,0.247613472645679,0.231510307142206,0.260458604470901,2014-11-03
0.260616076184804,0.247877553454684,0.23136618287899,0.260140187481521,2014-11-04
0.260816084881633,0.248140248795937,0.231221781453119,0.259821884869311,2014-11-05
0.261017669996568,0.248401573134809,0.231077060802351,0.259503696066272,2014-11-06
0.261220859715301,0.248661540960958,0.230931978898291,0.25918562042545,2014-11-07
0.261425682245297,0.248920166786662,0.230786493746935,0.258867657221106,2014-11-08
0.261632165816716,0.249177465145152,0.230640563389286,0.258549805648845,2014-11-09
0.261840338683344,0.24943345058891,0.230494145902006,0.25823206482574,2014-11-10
0.2620502291235,0.249688137687967,0.230347199398131,0.257914433790402,2014-11-11
0.262261865440941,0.249941541028172,0.230199682027838,0.25759691150305,2014-11-12
0.26247527596576,0.250193675209444,0.230051551979265,0.257279496845531,2014-11-13
